blueprint_path,blueprint_short,species_key,display_name_pt,dino_role,tier,prestige_rank,commerce_channel,R,B,mercado_0,mercado_254,encomenda_0,encomenda_254,id_loja_novo,id_loja_antigo_l1,id_loja_antigo_l200,price_antigo_l1,price_antigo_l200
/Game/Aberration/Dinos/Nameless/Xenomorph_Character_BP_Male.Xenomorph_Character_BP_Male,xenomorph_character_bp_male,xenomorph,Reaper,raid,A,68,market_p2p,16000,74000,16000,90000,25600,125500,xenomorph,xenomorph_femea,xenomorph,7000,21000
/Game/Abyss/Dinos/Abyssal/Ankylosaurus/Ankylo_Character_BP_Abyssal.Ankylo_Character_BP_Abyssal,ankylo_character_bp_abyssal,abyss_ankylo_abyssal,Anquilossauro Abissal,utilitario,C,30,market_p2p,700,7300,700,8000,1120,10975,abyss_ankylo_abyssal,,abyss_ankylo_abyssal,0,1000
/Game/Abyss/Dinos/Abyssal/Moschops/Moschops_Character_BP_Abyssal.Moschops_Character_BP_Abyssal,moschops_character_bp_abyssal,abyss_moschops_abyssal,Moschops Abissal,utilitario,C,18,market_p2p,600,7400,600,8000,960,10950,abyss_moschops_abyssal,,abyss_moschops_abyssal,0,500
/Game/Abyss/Dinos/Abyssal/Reaper/Reaper_Character_BP_Male_Abyssal.Reaper_Character_BP_Male_Abyssal,reaper_character_bp_male_abyssal,abyss_reaper_abyssal,Reaper Abissal,raid,A,70,market_p2p,16000,74000,16000,90000,25600,125500,abyss_reaper_abyssal,,abyss_reaper_abyssal,0,13000
/Game/Abyss/Dinos/Abyssal/Rex/Rex_Character_BP_Abyssal.Rex_Character_BP_Abyssal,rex_character_bp_abyssal,abyss_rex_abyssal,Rex Abissal,raid,A,72,market_p2p,16500,73500,16500,90000,26400,125625,abyss_rex_abyssal,,abyss_rex_abyssal,0,13000
/Game/Abyss/Dinos/Abyssal/Stego/Stego_Character_BP_Abyssal.Stego_Character_BP_Abyssal,stego_character_bp_abyssal,abyss_stego_abyssal,Stegossauro Abissal,utilitario,C,40,market_p2p,800,7200,800,8000,1280,11000,abyss_stego_abyssal,,abyss_stego_abyssal,0,2800
/Game/Abyss/Dinos/Abyssal/Therizinosaurus/Therizino_Character_BP_Abyssal.Therizino_Character_BP_Abyssal,therizino_character_bp_abyssal,abyss_theriz_abyssal,Therizinosaur Abissal,utilitario,B,52,market_p2p,2500,12500,2500,15000,4000,20875,abyss_theriz_abyssal,,abyss_theriz_abyssal,0,5500
/Game/Abyss/Dinos/Abyssal/Thylacoleo/Thylacoleo_Character_BP_Abyssal.Thylacoleo_Character_BP_Abyssal,thylacoleo_character_bp_abyssal,abyss_thyla_abyssal,Thylacoleo Abissal,ataque,B,48,market_p2p,3500,31500,3500,35000,5600,48125,abyss_thyla_abyssal,,abyss_thyla_abyssal,0,5200
/Game/Abyss/Dinos/Abyssal/Yutyrannus/Yutyrannus_Character_BP_Abyssal.Yutyrannus_Character_BP_Abyssal,yutyrannus_character_bp_abyssal,abyss_yuty_abyssal,Yutyrannus Abissal,ataque,A,68,market_p2p,10000,65000,10000,75000,16000,103750,abyss_yuty_abyssal,,abyss_yuty_abyssal,0,12500
/Game/Abyss/Dinos/Dakosaurus/Dakosaurus_Character_BP.Dakosaurus_Character_BP,dakosaurus_character_bp,abyss_dakosaurus,Dakosaurus,ataque,B,52,market_p2p,3500,31500,3500,35000,5600,48125,abyss_dakosaurus,,abyss_dakosaurus,0,9000
/Game/Abyss/Dinos/Homarus/Homarus_Character_BP.Homarus_Character_BP,homarus_character_bp,abyss_homarus,Lagosta (Homarus),utilitario,C,28,market_p2p,700,7300,700,8000,1120,10975,abyss_homarus,,abyss_homarus,0,1000
/Game/Abyss/Dinos/Istiophorus/Istiophorus_Character_BP.Istiophorus_Character_BP,istiophorus_character_bp,abyss_istiophorus,Marlim (Istiophorus),locomocao,C,30,market_p2p,1000,11000,1000,12000,1600,16450,abyss_istiophorus,,abyss_istiophorus,0,1000
/Game/Abyss/Dinos/Kathreptis/Kathreptis_Character_BP.Kathreptis_Character_BP,kathreptis_character_bp,abyss_kathreptis,Kathreptis,utilitario,C,28,market_p2p,700,7300,700,8000,1120,10975,abyss_kathreptis,,abyss_kathreptis,0,1000
/Game/Abyss/Dinos/Malleocephalus/Malleocephalus_Character_BP.Malleocephalus_Character_BP,malleocephalus_character_bp,abyss_malleocephalus,Malleocephalus,utilitario,C,28,market_p2p,700,7300,700,8000,1120,10975,abyss_malleocephalus,,abyss_malleocephalus,0,1000
/Game/Abyss/Dinos/MantisShrimp/MantisShrimp_Character_BP.MantisShrimp_Character_BP,mantisshrimp_character_bp,abyss_mantis_shrimp,Camarão-mantis,ataque,C,32,market_p2p,1500,13500,1500,15000,2400,20625,abyss_mantis_shrimp,,abyss_mantis_shrimp,0,1000
/Game/Abyss/Dinos/Monodon/Monodon_Character_BP.Monodon_Character_BP,monodon_character_bp,abyss_monodon,Narval (Monodon),utilitario,C,18,market_p2p,600,7400,600,8000,960,10950,abyss_monodon,,abyss_monodon,0,500
/Game/Abyss/Dinos/Mudpuppy/Mudpuppy_Character_BP.Mudpuppy_Character_BP,mudpuppy_character_bp,abyss_mudpuppy,Mudpuppy,utilitario,C,22,market_p2p,650,7350,650,8000,1039,10962,abyss_mudpuppy,,abyss_mudpuppy,0,700
/Game/Abyss/Dinos/Ocepechelon/Ocepechelon_Character_BP.Ocepechelon_Character_BP,ocepechelon_character_bp,abyss_ocepechelon,Ocepechelon,utilitario,C,28,market_p2p,700,7300,700,8000,1120,10975,abyss_ocepechelon,,abyss_ocepechelon,0,1000
/Game/Abyss/Dinos/Onchopristis/Onchopristis_Character_BP.Onchopristis_Character_BP,onchopristis_character_bp,abyss_onchopristis,Onchopristis,ataque,C,30,market_p2p,1200,13800,1200,15000,1920,20550,abyss_onchopristis,,abyss_onchopristis,0,1000
/Game/Abyss/Dinos/Qarmoutus/Qarmoutus_Character_BP.Qarmoutus_Character_BP,qarmoutus_character_bp,abyss_qarmoutus,Qarmoutus,utilitario,C,28,market_p2p,700,7300,700,8000,1120,10975,abyss_qarmoutus,,abyss_qarmoutus,0,1000
/Game/Abyss/Dinos/RiftCrawler/RiftCrawler_Character_BP.RiftCrawler_Character_BP,riftcrawler_character_bp,abyss_riftcrawler,Rift Crawler,ataque,B,48,market_p2p,3500,31500,3500,35000,5600,48125,abyss_riftcrawler,,abyss_riftcrawler,0,5200
/Game/Abyss/Dinos/Seahorse/Seahorse_Character_BP.Seahorse_Character_BP,seahorse_character_bp,abyss_seahorse,Cavalo-marinho,utilitario,C,20,market_p2p,650,7350,650,8000,1039,10962,abyss_seahorse,,abyss_seahorse,0,600
/Game/Abyss/Dinos/Stereolepis/Stereolepis_Character_BP.Stereolepis_Character_BP,stereolepis_character_bp,abyss_stereolepis,Stereolepis,utilitario,C,38,market_p2p,800,7200,800,8000,1280,11000,abyss_stereolepis,,abyss_stereolepis,0,2800
/Game/Abyss/Dinos/Takifugu/Takifugu_Character_BP.Takifugu_Character_BP,takifugu_character_bp,abyss_takifugu,Baiacu (Takifugu),utilitario,C,25,market_p2p,700,7300,700,8000,1120,10975,abyss_takifugu,,abyss_takifugu,0,800
/Game/Abyss/Dinos/Thunnus/Thunnus_Character_BP.Thunnus_Character_BP,thunnus_character_bp,abyss_thunnus,Atum (Thunnus),utilitario,C,32,market_p2p,700,7300,700,8000,1120,10975,abyss_thunnus,,abyss_thunnus,0,2200
/Game/Abyss/Dinos/Tiktaalik/Tiktaalik_Character_BP.Tiktaalik_Character_BP,tiktaalik_character_bp,abyss_tiktaalik,Tiktaalik,utilitario,C,35,market_p2p,800,7200,800,8000,1280,11000,abyss_tiktaalik,,abyss_tiktaalik,0,3000
/Game/Abyss/Dinos/Tridacna/Tridacna_Character_BP.Tridacna_Character_BP,tridacna_character_bp,abyss_tridacna,Tridacna,utilitario,C,35,market_p2p,800,7200,800,8000,1280,11000,abyss_tridacna,,abyss_tridacna,0,2500
/Game/Abyss/Dinos/Vulcanite/Vulcanite_Character_BP.Vulcanite_Character_BP,vulcanite_character_bp,abyss_vulcanite,Vulcanita,ataque,B,50,market_p2p,3500,31500,3500,35000,5600,48125,abyss_vulcanite,,abyss_vulcanite,0,5500
/Game/Abyss/Dinos/WaterWyvern/Wyvern_Character_BP_Water.Wyvern_Character_BP_Water,wyvern_character_bp_water,abyss_water_wyvern,Wyvern Aquática,locomocao,A,62,market_p2p,6500,35500,6500,42000,10400,58325,abyss_water_wyvern,,abyss_water_wyvern,0,6000
/Game/Fjordur/Dinos/Desmodus/Desmodus_Character_BP.Desmodus_Character_BP,desmodus_character_bp,desmodus,Desmodus,locomocao,A,70,market_p2p,7000,35000,7000,42000,11200,58450,desmodus,desmodus_femea,desmodus,8000,20000
/Game/Genesis/Dinos/BiomeVariants/Volcano_Rex/Volcano_Rex_Character_BP.Volcano_Rex_Character_BP,volcano_rex_character_bp,volcanorex,Volcano Rex,ataque,A,66,market_p2p,9500,65500,9500,75000,15200,103625,volcanorex,volcanorex_femea,volcanorex,10000,25000
/Game/Genesis2/Dinos/LionfishLion/LionfishLion_Character_BP.LionfishLion_Character_BP,lionfishlion_character_bp,lionfish,Shadowmane,raid,S,78,market_p2p,35000,95000,35000,130000,56000,184250,lionfish,lionfish_femea,lionfish,10000,27500
/Game/Genesis2/Dinos/SpaceDolphin/SpaceDolphin_Character_BP.SpaceDolphin_Character_BP,spacedolphin_character_bp,astrodelphis,Astrodelphis,locomocao,A,72,market_p2p,7000,35000,7000,42000,11200,58450,astrodelphis,astrodelphis_1,astrodelphis_200,6000,12000
/Game/Genesis2/Dinos/Summoner/SummonedDinos/Xenomorph_Character_BP_Male_Gen2_Summoned.Xenomorph_Character_BP_Male_Gen2_Summoned,xenomorph_character_bp_male_gen2_summoned,xenomorphgen2,Reaper Gen2,raid,A,69,market_p2p,16000,74000,16000,90000,25600,125500,xenomorphgen2,xenomorphgen2_femea,xenomorphgen2,8000,20000
/Game/Genesis2/Dinos/TekStrider/TekStrider_Character_BP.TekStrider_Character_BP,tekstrider_character_bp,tekstrider,Tek Strider,boss,S+,85,catalog_only,35000,115000,35000,150000,56000,211250,tekstrider,tekstrider_femea,tekstrider,30000,52500
/Game/Mods/Additions_Pack/Acrocanthosaurus/Dinos/Acrocanthosaurus_Character_BP.Acrocanthosaurus_Character_BP,acrocanthosaurus_character_bp,acro,Acrocantossauro,ataque,S,80,market_p2p,22000,86000,22000,108000,35200,151300,acro,acrocanto_femea,acro,8000,45000
/Game/Mods/Additions_Pack/Archelon/Dinos/Archelon_Character_BP.Archelon_Character_BP,archelon_character_bp,archelon,Archelon,utilitario,B,48,market_p2p,2500,12500,2500,15000,4000,20875,archelon,,archelon,0,7000
/Game/Mods/Additions_Pack/Brachiosaurus/Dinos/Brachiosaurus_Character_BP.Brachiosaurus_Character_BP,brachiosaurus_character_bp,brachio,Brachiosaurus,utilitario,B,55,market_p2p,2500,12500,2500,15000,4000,20875,brachio,,brachio,0,10000
/Game/Mods/Additions_Pack/Concavenator/Dino/Concavenator_Character_BP.Concavenator_Character_BP,concavenator_character_bp,concavenator,Concavenator,ataque,B,48,market_p2p,3500,31500,3500,35000,5600,48125,concavenator,,concavenator,0,6000
/Game/Mods/Additions_Pack/Cryolophosaurus/Dinos/Cryolophosaurus_Character_BP.Cryolophosaurus_Character_BP,cryolophosaurus_character_bp,cryolophosaurus,Cryolophosaurus,ataque,B,45,market_p2p,3500,31500,3500,35000,5600,48125,cryolophosaurus,,cryolophosaurus,0,5000
/Game/Mods/Additions_Pack/Deinosuchus/Dino/Deinosuchus_Character_BP.Deinosuchus_Character_BP,deinosuchus_character_bp,deinosuchus,Deinosuchus,ataque,B,50,market_p2p,3500,31500,3500,35000,5600,48125,deinosuchus,,deinosuchus,0,9000
/Game/Mods/Additions_Pack/Xiphactinus/Dino/Xiph_Character_BP.Xiph_Character_BP,xiph_character_bp,xiphactinus,Xiphactinus,ataque,B,50,market_p2p,3500,31500,3500,35000,5600,48125,xiphactinus,,xiphactinus,0,6500
/Game/Mods/Funny_Creatures/AncientWyvern/Wyvern_Character_BP_Ancient.Wyvern_Character_BP_Ancient,wyvern_character_bp_ancient,ancient_wyvern,Ancient Wyvern,boss,S+,88,market_p2p,86000,64000,86000,150000,137600,224000,ancient_wyvern,,ancient_wyvern,0,38000
/Game/Mods/Funny_Creatures/DreadWyvern/Wyvern_Character_BP_Dread.Wyvern_Character_BP_Dread,wyvern_character_bp_dread,dread_wyvern,Dread Wyvern,boss,S+,90,market_p2p,88000,62000,88000,150000,140800,224500,dread_wyvern,,dread_wyvern,0,42000
/Game/Mods/Funny_Creatures/Shimosaur/Shimosaur_Character_BP.Shimosaur_Character_BP,shimosaur_character_bp,shimosaur,Shimosaur,ataque,A,64,market_p2p,9500,65500,9500,75000,15200,103625,shimosaur,,shimosaur,0,11000
/Game/Mods/GrandHunt/Monsters/Armaedron/Armaedron_Character_BP.Armaedron_Character_BP,armaedron_character_bp,armaedron,Armaedron,boss,S+,98,market_p2p,95000,55000,95000,150000,152000,226250,armaedron,armaedron_femea,armaedron,35000,50000
/Game/Mods/GrandHunt/Monsters/DiruYaKu/DiruYaKu_Character_BP.DiruYaKu_Character_BP,diruyaku_character_bp,diru_ya_ku,Diru-Ya-Ku,ataque,C,38,market_p2p,1500,13500,1500,15000,2400,20625,diru_ya_ku,,diru_ya_ku,0,3000
/Game/Mods/GrandHunt/Monsters/KutsuYaKu/KutsuYaKu_Character_BP.KutsuYaKu_Character_BP,kutsuyaku_character_bp,kutsu_ya_ku,Kutsu-Ya-Ku,ataque,B,45,market_p2p,3500,31500,3500,35000,5600,48125,kutsu_ya_ku,,kutsu_ya_ku,0,5000
/Game/Mods/GrandHunt/Monsters/Puretotokage/Puretotokage_Character_BP.Puretotokage_Character_BP,puretotokage_character_bp,puretotokage,Puretotokage,ataque,A,65,market_p2p,9500,65500,9500,75000,15200,103625,puretotokage,,puretotokage,0,12000
/Game/Mods/IndominusRex/IndoRaptor/IndoRaptorBlueprints/NewIndoRaptor_Character_BP.NewIndoRaptor_Character_BP,newindoraptor_character_bp,indoraptor,IndoRaptor,boss,S+,87,market_p2p,84000,66000,84000,150000,134400,223500,indoraptor,indoraptor_femea,indoraptor,6000,12000
/Game/Mods/IndominusRex/Models/IndominusRex_Character_BP.IndominusRex_Character_BP,indominusrex_character_bp,indominus,Indominus Rex,boss,S+,92,market_p2p,70000,80000,70000,150000,112000,220000,indominus,indominus_femea,indominus,20000,55000
/Game/Mods/SmallBosses/CrystalQueen/CrystalWyvern_Character_BP_Descendant_Blood.CrystalWyvern_Character_BP_Descendant_Blood,crystalwyvern_character_bp_descendant_blood,sb_crystal_blood,Crystal Wyvern Blood Descendant,raid,A,60,market_p2p,15000,75000,15000,90000,24000,125250,sb_crystal_blood,sb_crystal_blood,sb_crystal_blood_200,6000,12000
/Game/Mods/SmallBosses/CrystalQueen/CrystalWyvern_Character_BP_Descendant_Ember.CrystalWyvern_Character_BP_Descendant_Ember,crystalwyvern_character_bp_descendant_ember,sb_crystal_ember,Crystal Wyvern Ember Descendant,raid,A,60,market_p2p,15000,75000,15000,90000,24000,125250,sb_crystal_ember,sb_crystal_ember,sb_crystal_ember_200,6000,12000
/Game/Mods/SmallBosses/CrystalQueen/CrystalWyvern_Character_BP_Descendant_Tropical.CrystalWyvern_Character_BP_Descendant_Tropical,crystalwyvern_character_bp_descendant_tropical,sb_crystal_tropical,Crystal Wyvern Tropical Descendant,ataque,B,50,market_p2p,3500,31500,3500,35000,5600,48125,sb_crystal_tropical,sb_crystal_tropical,sb_crystal_tropical_200,6000,12000
/Game/Mods/SmallBosses/CrystalQueen/CrystalWyvern_Character_BP_Queen.CrystalWyvern_Character_BP_Queen,crystalwyvern_character_bp_queen,sb_crystal_queen,Crystal Wyvern Queen,boss,A,67,market_p2p,25000,95000,25000,120000,40000,168250,sb_crystal_queen,sb_crystal_queen,sb_crystal_queen_200,7000,14000
/Game/Mods/SmallBosses/FireElemental/FireElemental_Character_BP.FireElemental_Character_BP,fireelemental_character_bp,sb_fire_elemental,Fire Elemental,boss,A,68,market_p2p,25000,95000,25000,120000,40000,168250,sb_fire_elemental,sb_fire_elemental,sb_fire_elemental_200,8000,14000
/Game/Mods/SmallBosses/FireElemental/FireElemental_Character_BP_Tameable.FireElemental_Character_BP_Tameable,fireelemental_character_bp_tameable,sb_fire_elemental_tame,Fire Elemental Domável,boss,A,68,market_p2p,25000,95000,25000,120000,40000,168250,sb_fire_elemental_tame,sb_fire_elemental_tame,sb_fire_elemental_tame_200,8000,14000
/Game/Mods/SmallBosses/SmallBroodmother/SmallBroodmother_Character_BP.SmallBroodmother_Character_BP,smallbroodmother_character_bp,sb_broodmother,Small Broodmother,boss,A,68,market_p2p,25000,95000,25000,120000,40000,168250,sb_broodmother,sb_broodmother,sb_broodmother_200,7500,14000
/Game/Mods/SmallBosses/SmallCyclops/SmallCyclops_Character_BP.SmallCyclops_Character_BP,smallcyclops_character_bp,sb_cyclops,Small Cyclops,boss,A,62,market_p2p,24000,96000,24000,120000,38400,168000,sb_cyclops,sb_cyclops,sb_cyclops_200,6000,12000
/Game/Mods/SmallBosses/SmallDesertTitan/DesertTitan_Character_BP_SB.DesertTitan_Character_BP_SB,deserttitan_character_bp_sb,sb_desert_titan,Small Desert Titan,boss,A,67,market_p2p,25000,95000,25000,120000,40000,168250,sb_desert_titan,sb_desert_titan,sb_desert_titan_200,7000,14000
/Game/Mods/SmallBosses/SmallDodoRex/SmallDodoRex_Character_BP.SmallDodoRex_Character_BP,smalldodorex_character_bp,sb_dodorex,Small DodoRex,boss,A,66,market_p2p,25000,95000,25000,120000,40000,168250,sb_dodorex,sb_dodorex,sb_dodorex_200,7000,14000
/Game/Mods/SmallBosses/SmallDodoreaper/SmallDodoreaper_Character_BP.SmallDodoreaper_Character_BP,smalldodoreaper_character_bp,sb_dodoreaper,Small Dodoreaper,boss,A,66,market_p2p,25000,95000,25000,120000,40000,168250,sb_dodoreaper,sb_dodoreaper,sb_dodoreaper_200,7000,14000
/Game/Mods/SmallBosses/SmallDodowyvern/SmallDodowyvern_Character_BP.SmallDodowyvern_Character_BP,smalldodowyvern_character_bp,sb_dodowyvern,Small Dodowyvern,raid,B,58,market_p2p,6000,39000,6000,45000,9600,62250,sb_dodowyvern,sb_dodowyvern,sb_dodowyvern_200,5000,10000
/Game/Mods/SmallBosses/SmallDragon/SmallDragon_Character_BP.SmallDragon_Character_BP,smalldragon_character_bp,sb_small_dragon,Small Dragon,boss,A,70,market_p2p,25500,94500,25500,120000,40800,168375,sb_small_dragon,sb_small_dragon,sb_small_dragon_200,8000,15000
