categoria,item,tier,tier_num,preco_amber,licenca_minima,notas
Armadura,Botas TEK,Delta,1,400,Delta+,
Armadura,Luvas TEK,Delta,1,400,Delta+,
Armadura,Capacete TEK,Delta,1,400,Delta+,
Armadura,Calcas TEK,Delta,1,400,Delta+,
Armadura,Peitoral TEK,Delta,1,400,Delta+,
Arma,Tek Shield Armor,Delta,1,300,Delta+,
Arma,Shoulder Cannon,Delta,1,300,Delta+,
Arma,Tek Bow,Delta,1,300,Delta+,
Arma,Tek Pistol,Delta,1,300,Delta+,
Arma,ElectroPod,Delta,1,300,Delta+,
Arma,Tek Sword,Delta,1,300,Delta+,
Arma,Tek Claws,Delta,1,300,Delta+,
Arma,Tek Rifle,Delta,1,300,Delta+,
Arma,Sniper,Delta,1,300,Delta+,
Arma,Pike,Delta,1,300,Delta+,
Arma,Pump-Action,Delta,1,300,Delta+,
Arma,Club/Clava,Delta,1,300,Delta+,
Arma,Grenade Launcher,Delta,1,300,Delta+,
Arma,Cruise Missile,Delta,1,300,Delta+,
Ferramenta,Chainsaw,Delta,1,200,Delta+,
Ferramenta,Hatchet,Delta,1,200,Delta+,
Ferramenta,Mining Drill,Delta,1,200,Delta+,
Ferramenta,Pick,Delta,1,200,Delta+,
Ferramenta,Sickle,Delta,1,200,Delta+,
Ferramenta,Fishing Rod,Delta,1,200,Delta+,
Ferramenta,Torch,Delta,1,200,Delta+,
Ferramenta,Whip,Delta,1,200,Delta+,
Ferramenta,Lantern Charge,Delta,1,200,Delta+,
Sela,Sela TEK Megalodon,Delta,1,400,Delta+,
Sela,Sela TEK Mosassauro,Delta,1,400,Delta+,
Sela,Sela TEK Rex,Delta,1,400,Delta+,
Sela,Sela TEK Rock Drake,Delta,1,400,Delta+,
Sela,Sela TEK Astrodelph,Delta,1,400,Delta+,
Sela,Sela TEK Astrocetus,Delta,1,400,Delta+,
Sela,Sela TEK Tapejara,Delta,1,400,Delta+,
Armadura,Botas TEK,Gama,2,700,Gama+,
Armadura,Luvas TEK,Gama,2,700,Gama+,
Armadura,Capacete TEK,Gama,2,700,Gama+,
Armadura,Calcas TEK,Gama,2,700,Gama+,
Armadura,Peitoral TEK,Gama,2,700,Gama+,
Arma,Tek Shield Armor,Gama,2,500,Gama+,
Arma,Shoulder Cannon,Gama,2,500,Gama+,
Arma,Tek Bow,Gama,2,500,Gama+,
Arma,Tek Pistol,Gama,2,500,Gama+,
Arma,ElectroPod,Gama,2,500,Gama+,
Arma,Tek Sword,Gama,2,500,Gama+,
Arma,Tek Claws,Gama,2,500,Gama+,
Arma,Tek Rifle,Gama,2,500,Gama+,
Arma,Sniper,Gama,2,500,Gama+,
Arma,Pike,Gama,2,500,Gama+,
Arma,Pump-Action,Gama,2,500,Gama+,
Arma,Club/Clava,Gama,2,500,Gama+,
Arma,Grenade Launcher,Gama,2,500,Gama+,
Arma,Cruise Missile,Gama,2,500,Gama+,
Ferramenta,Chainsaw,Gama,2,400,Gama+,
Ferramenta,Hatchet,Gama,2,400,Gama+,
Ferramenta,Mining Drill,Gama,2,400,Gama+,
Ferramenta,Pick,Gama,2,400,Gama+,
Ferramenta,Sickle,Gama,2,400,Gama+,
Ferramenta,Fishing Rod,Gama,2,400,Gama+,
Ferramenta,Torch,Gama,2,400,Gama+,
Ferramenta,Whip,Gama,2,400,Gama+,
Ferramenta,Lantern Charge,Gama,2,400,Gama+,
Sela,Sela TEK Megalodon,Gama,2,600,Gama+,
Sela,Sela TEK Mosassauro,Gama,2,600,Gama+,
Sela,Sela TEK Rex,Gama,2,600,Gama+,
Sela,Sela TEK Rock Drake,Gama,2,600,Gama+,
Sela,Sela TEK Astrodelph,Gama,2,600,Gama+,
Sela,Sela TEK Astrocetus,Gama,2,600,Gama+,
Sela,Sela TEK Tapejara,Gama,2,600,Gama+,
Armadura,Botas TEK,Beta,3,1100,Beta+,
Armadura,Luvas TEK,Beta,3,1100,Beta+,
Armadura,Capacete TEK,Beta,3,1100,Beta+,
Armadura,Calcas TEK,Beta,3,1100,Beta+,
Armadura,Peitoral TEK,Beta,3,1100,Beta+,
Arma,Tek Shield Armor,Beta,3,800,Beta+,
Arma,Shoulder Cannon,Beta,3,800,Beta+,
Arma,Tek Bow,Beta,3,800,Beta+,
Arma,Tek Pistol,Beta,3,800,Beta+,
