#,nome,origem,mod_id,blueprint_path,no_catalogo,catalog_id,preco_l1_atual
1,Rex,Vanilla (The Island),—,/Game/PrimalEarth/Dinos/Rex/Rex_Character_BP.Rex_Character_BP,sim,rex,18000
2,Giganotosaurus,Vanilla (The Island),—,/Game/PrimalEarth/Dinos/Giganotosaurus/Gigant_Character_BP.Gigant_Character_BP,sim,giga,22500
3,Rex Tek (Bionic),Vanilla (The Island),—,/Game/PrimalEarth/Dinos/Rex/BionicRex_Character_BP.BionicRex_Character_BP,sim,bionicrex,20000
4,Giganotossauro Tek (Bionic),Vanilla (The Island),—,/Game/PrimalEarth/Dinos/Giganotosaurus/BionicGigant_Character_BP.BionicGigant_Character_BP,sim,bionicgigant,25000
5,Megalosaurus,Vanilla (The Island),—,/Game/PrimalEarth/Dinos/Megalosaurus/Megalosaurus_Character_BP.Megalosaurus_Character_BP,sim,megalosaurus,9000
6,Deinonychus,DLC Valguero,—,/Game/PrimalEarth/Dinos/Raptor/Uberraptor/Deinonychus_Character_BP.Deinonychus_Character_BP,sim,deinonychus,9500
7,Megalosaurus Aberrante,DLC Aberration,—,/Game/PrimalEarth/Dinos/Megalosaurus/Megalosaurus_Character_BP_Aberrant.Megalosaurus_Character_BP_Aberrant,sim,megalosaurus_aberrant,9500
8,Reaper (Xenomorph),DLC Aberration,—,/Game/Aberration/Dinos/Nameless/Xenomorph_Character_BP_Male.Xenomorph_Character_BP_Male,sim,xenomorph,16000
9,Volcano Rex,DLC Genesis 1,—,/Game/Genesis/Dinos/BiomeVariants/Volcano_Rex/Volcano_Rex_Character_BP.Volcano_Rex_Character_BP,sim,volcanorex,9500
10,Astrodelphis,DLC Genesis 2,—,/Game/Genesis2/Dinos/SpaceDolphin/SpaceDolphin_Character_BP.SpaceDolphin_Character_BP,sim,astrodelphis,7000
11,Reaper Gen2,DLC Genesis 2,—,/Game/Genesis2/Dinos/Summoner/SummonedDinos/Xenomorph_Character_BP_Male_Gen2_Summoned.Xenomorph_Character_BP_Male_Gen2_Summoned,sim,xenomorphgen2,16000
12,Shadowmane,DLC Genesis 2,—,/Game/Genesis2/Dinos/LionfishLion/LionfishLion_Character_BP.LionfishLion_Character_BP,sim,lionfish,35000
13,Tek Strider,DLC Genesis 2,—,/Game/Genesis2/Dinos/TekStrider/TekStrider_Character_BP.TekStrider_Character_BP,sim,tekstrider,35000
14,Carcharodontosaurus,DLC Lost Island,—,/Game/PrimalEarth/Dinos/Carcharodontosaurus/Carcha_Character_BP.Carcha_Character_BP,sim,carcha,25000
15,Desmodus,DLC Fjordur,—,/Game/Fjordur/Dinos/Desmodus/Desmodus_Character_BP.Desmodus_Character_BP,sim,desmodus,7000
16,Allosaurus,Vanilla (The Island),—,/Game/PrimalEarth/Dinos/Allosaurus/Allo_Character_BP.Allo_Character_BP,não,—,—
